Name,RollNumber,Branch,Year,CurrentCourse,Course1,Grade1,Course2,Grade2
Aarav Gupta,MT21101,CSE,2020,OOPD,401,6,NLP,7
Vivaan Gupta,MT21102,ECE,2021,202,DBMS,7,920,8
Aditya Gupta,PhD21103,CSAM,2022,OS,601,8,SEC,9
Vihaan Gupta,MT21104,CSD,2023,401,ML,9,111,10
Arjun Gupta,MT21105,CSB,2020,DBMS,815,10,COA,6
Sai Gupta,PhD21106,CSE,2021,601,CV,6,333,7
Arnav Gupta,MT21107,ECE,2022,ML,1005,7,WEB,8
Ayaan Gupta,MT21108,CSAM,2023,815,TOC,8,555,9
Krishna Gupta,PhD21109,CSD,2020,CV,222,9,CLOUD,10
Ishaan Gupta,MT21110,CSB,2021,1005,ALGO,10,777,6
Shaurya Gupta,MT21111,CSE,2022,TOC,444,6,CYBER,7
Atharv Gupta,PhD21112,ECE,2023,222,MOBILE,7,999,8
Advik Gupta,MT21113,CSAM,2020,ALGO,666,8,ROBOTICS,9
Pranav Gupta,MT21114,CSD,2021,444,IOT,9,101,10
Reyansh Gupta,PhD21115,CSB,2022,MOBILE,888,10,DSA,6
Aaradhya Gupta,MT21116,CSE,2023,666,GAME,6,303,7
Diya Gupta,MT21117,ECE,2020,IOT,1111,7,CN,8
Saanvi Gupta,PhD21118,CSAM,2021,888,OOPD,8,523,9
Ananya Gupta,MT21119,CSD,2022,GAME,202,9,AI,10
Pari Gupta,MT21120,CSB,2023,1111,OS,10,702,6
Navya Gupta,PhD21121,CSE,2020,OOPD,401,6,NLP,7
Angel Gupta,MT21122,ECE,2021,202,DBMS,7,920,8
Ira Gupta,MT21123,CSAM,2022,OS,601,8,SEC,9
Prisha Gupta,PhD21124,CSD,2023,401,ML,9,111,10
Anaya Gupta,MT21125,CSB,2020,DBMS,815,10,COA,6
Ravi Gupta,MT21126,CSE,2021,601,CV,6,333,7
Priya Gupta,PhD21127,ECE,2022,ML,1005,7,WEB,8
Amit Gupta,MT21128,CSAM,2023,815,TOC,8,555,9
Sneha Gupta,MT21129,CSD,2020,CV,222,9,CLOUD,10
Karan Gupta,PhD21130,CSB,2021,1005,ALGO,10,777,6
Nisha Gupta,MT21131,CSE,2022,TOC,444,6,CYBER,7
Rahul Gupta,MT21132,ECE,2023,222,MOBILE,7,999,8
Divya Gupta,PhD21133,CSAM,2020,ALGO,666,8,ROBOTICS,9
Meera Gupta,MT21134,CSD,2021,444,IOT,9,101,10
Rohan Gupta,MT21135,CSB,2022,MOBILE,888,10,DSA,6
Anjali Gupta,PhD21136,CSE,2023,666,GAME,6,303,7
Vikram Gupta,MT21137,ECE,2020,IOT,1111,7,CN,8
Pooja Gupta,MT21138,CSAM,2021,888,OOPD,8,523,9
Aryan Gupta,PhD21139,CSD,2022,GAME,202,9,AI,10
Kavya Gupta,MT21140,CSB,2023,1111,OS,10,702,6
Aakash Gupta,MT21141,CSE,2020,OOPD,401,6,NLP,7
Simran Gupta,PhD21142,ECE,2021,202,DBMS,7,920,8
Varun Gupta,MT21143,CSAM,2022,OS,601,8,SEC,9
Tanvi Gupta,MT21144,CSD,2023,401,ML,9,111,10
Nikhil Gupta,PhD21145,CSB,2020,DBMS,815,10,COA,6
Ritu Gupta,MT21146,CSE,2021,601,CV,6,333,7
Siddharth Gupta,MT21147,ECE,2022,ML,1005,7,WEB,8
Neha Gupta,PhD21148,CSAM,2023,815,TOC,8,555,9
Kunal Gupta,MT21149,CSD,2020,CV,222,9,CLOUD,10
Shruti Gupta,MT21150,CSB,2021,1005,ALGO,10,777,6
Aarav Singh,2021002,CS,2022,TOC,444,6,CYBER,7
Vivaan Singh,MT21152,ECE,2023,222,MOBILE,7,999,8
Aditya Singh,MT21153,CSAM,2020,ALGO,666,8,ROBOTICS,9
Vihaan Singh,PhD21154,CSD,2021,444,IOT,9,101,10
Arjun Singh,MT21155,CSB,2022,MOBILE,888,10,DSA,6
Sai Singh,MT21156,CSE,2023,666,GAME,6,303,7
Arnav Singh,PhD21157,ECE,2020,IOT,1111,7,CN,8
Ayaan Singh,MT21158,CSAM,2021,888,OOPD,8,523,9
Krishna Singh,MT21159,CSD,2022,GAME,202,9,AI,10
Ishaan Singh,PhD21160,CSB,2023,1111,OS,10,702,6
Shaurya Singh,MT21161,CSE,2020,OOPD,401,6,NLP,7
Atharv Singh,MT21162,ECE,2021,202,DBMS,7,920,8
Advik Singh,PhD21163,CSAM,2022,OS,601,8,SEC,9
Pranav Singh,MT21164,CSD,2023,401,ML,9,111,10
Reyansh Singh,MT21165,CSB,2020,DBMS,815,10,COA,6
Aaradhya Singh,PhD21166,CSE,2021,601,CV,6,333,7
Diya Singh,MT21167,ECE,2022,ML,1005,7,WEB,8
Saanvi Singh,MT21168,CSAM,2023,815,TOC,8,555,9
Ananya Singh,PhD21169,CSD,2020,CV,222,9,CLOUD,10
Pari Singh,MT21170,CSB,2021,1005,ALGO,10,777,6
Navya Singh,MT21171,CSE,2022,TOC,444,6,CYBER,7
Angel Singh,PhD21172,ECE,2023,222,MOBILE,7,999,8
Ira Singh,MT21173,CSAM,2020,ALGO,666,8,ROBOTICS,9
Prisha Singh,MT21174,CSD,2021,444,IOT,9,101,10
Anaya Singh,PhD21175,CSB,2022,MOBILE,888,10,DSA,6
Ravi Singh,MT21176,CSE,2023,666,GAME,6,303,7
Priya Singh,MT21177,ECE,2020,IOT,1111,7,CN,8
Amit Singh,PhD21178,CSAM,2021,888,OOPD,8,523,9
Sneha Singh,MT21179,CSD,2022,GAME,202,9,AI,10
Karan Singh,MT21180,CSB,2023,1111,OS,10,702,6
Nisha Singh,PhD21181,CSE,2020,OOPD,401,6,NLP,7
Rahul Singh,MT21182,ECE,2021,202,DBMS,7,920,8
Divya Singh,MT21183,CSAM,2022,OS,601,8,SEC,9
Meera Singh,PhD21184,CSD,2023,401,ML,9,111,10
Rohan Singh,MT21185,CSB,2020,DBMS,815,10,COA,6
Anjali Singh,MT21186,CSE,2021,601,CV,6,333,7
Vikram Singh,PhD21187,ECE,2022,ML,1005,7,WEB,8
Pooja Singh,MT21188,CSAM,2023,815,TOC,8,555,9
Aryan Singh,MT21189,CSD,2020,CV,222,9,CLOUD,10
Kavya Singh,PhD21190,CSB,2021,1005,ALGO,10,777,6
Aakash Singh,MT21191,CSE,2022,TOC,444,6,CYBER,7
Simran Singh,MT21192,ECE,2023,222,MOBILE,7,999,8
Varun Singh,PhD21193,CSAM,2020,ALGO,666,8,ROBOTICS,9
Tanvi Singh,MT21194,CSD,2021,444,IOT,9,101,10
Nikhil Singh,MT21195,CSB,2022,MOBILE,888,10,DSA,6
Ritu Singh,PhD21196,CSE,2023,666,GAME,6,303,7
Siddharth Singh,MT21197,ECE,2020,IOT,1111,7,CN,8
Neha Singh,MT21198,CSAM,2021,888,OOPD,8,523,9
Kunal Singh,PhD21199,CSD,2022,GAME,202,9,AI,10
Shruti Singh,MT21200,CSB,2023,1111,OS,10,702,6
Aarav Patel,MT21201,CSE,2020,OOPD,401,6,NLP,7
Vivaan Patel,PhD21202,ECE,2021,202,DBMS,7,920,8
Aditya Patel,MT21203,CSAM,2022,OS,601,8,SEC,9
Vihaan Patel,MT21204,CSD,2023,401,ML,9,111,10
Arjun Patel,PhD21205,CSB,2020,DBMS,815,10,COA,6
Sai Patel,MT21206,CSE,2021,601,CV,6,333,7
Arnav Patel,MT21207,ECE,2022,ML,1005,7,WEB,8
Ayaan Patel,PhD21208,CSAM,2023,815,TOC,8,555,9
Krishna Patel,MT21209,CSD,2020,CV,222,9,CLOUD,10
Ishaan Patel,MT21210,CSB,2021,1005,ALGO,10,777,6
Shaurya Patel,PhD21211,CSE,2022,TOC,444,6,CYBER,7
Atharv Patel,MT21212,ECE,2023,222,MOBILE,7,999,8
Advik Patel,MT21213,CSAM,2020,ALGO,666,8,ROBOTICS,9
Pranav Patel,PhD21214,CSD,2021,444,IOT,9,101,10
Reyansh Patel,MT21215,CSB,2022,MOBILE,888,10,DSA,6
Aaradhya Patel,MT21216,CSE,2023,666,GAME,6,303,7
Diya Patel,PhD21217,ECE,2020,IOT,1111,7,CN,8
Saanvi Patel,MT21218,CSAM,2021,888,OOPD,8,523,9
Ananya Patel,MT21219,CSD,2022,GAME,202,9,AI,10
Pari Patel,PhD21220,CSB,2023,1111,OS,10,702,6
Navya Patel,MT21221,CSE,2020,OOPD,401,6,NLP,7
Angel Patel,MT21222,ECE,2021,202,DBMS,7,920,8
Ira Patel,PhD21223,CSAM,2022,OS,601,8,SEC,9
Prisha Patel,MT21224,CSD,2023,401,ML,9,111,10
Anaya Patel,MT21225,CSB,2020,DBMS,815,10,COA,6
Ravi Patel,PhD21226,CSE,2021,601,CV,6,333,7
Priya Patel,MT21227,ECE,2022,ML,1005,7,WEB,8
Amit Patel,MT21228,CSAM,2023,815,TOC,8,555,9
Sneha Patel,PhD21229,CSD,2020,CV,222,9,CLOUD,10
Karan Patel,MT21230,CSB,2021,1005,ALGO,10,777,6
Nisha Patel,MT21231,CSE,2022,TOC,444,6,CYBER,7
Rahul Patel,PhD21232,ECE,2023,222,MOBILE,7,999,8
Divya Patel,MT21233,CSAM,2020,ALGO,666,8,ROBOTICS,9
Meera Patel,MT21234,CSD,2021,444,IOT,9,101,10
Rohan Patel,PhD21235,CSB,2022,MOBILE,888,10,DSA,6
Anjali Patel,MT21236,CSE,2023,666,GAME,6,303,7
Vikram Patel,MT21237,ECE,2020,IOT,1111,7,CN,8
Pooja Patel,PhD21238,CSAM,2021,888,OOPD,8,523,9
Aryan Patel,MT21239,CSD,2022,GAME,202,9,AI,10
Kavya Patel,MT21240,CSB,2023,1111,OS,10,702,6
Aakash Patel,PhD21241,CSE,2020,OOPD,401,6,NLP,7
Simran Patel,MT21242,ECE,2021,202,DBMS,7,920,8
Varun Patel,MT21243,CSAM,2022,OS,601,8,SEC,9
Tanvi Patel,PhD21244,CSD,2023,401,ML,9,111,10
Nikhil Patel,MT21245,CSB,2020,DBMS,815,10,COA,6
Ritu Patel,MT21246,CSE,2021,601,CV,6,333,7
Siddharth Patel,PhD21247,ECE,2022,ML,1005,7,WEB,8
Neha Patel,MT21248,CSAM,2023,815,TOC,8,555,9
Kunal Patel,MT21249,CSD,2020,CV,222,9,CLOUD,10
Shruti Patel,PhD21250,CSB,2021,1005,ALGO,10,777,6
Aarav Kumar,MT21251,CSE,2022,TOC,444,6,CYBER,7
Vivaan Kumar,MT21252,ECE,2023,222,MOBILE,7,999,8
Aditya Kumar,PhD21253,CSAM,2020,ALGO,666,8,ROBOTICS,9
Vihaan Kumar,MT21254,CSD,2021,444,IOT,9,101,10
Arjun Kumar,MT21255,CSB,2022,MOBILE,888,10,DSA,6
Sai Kumar,PhD21256,CSE,2023,666,GAME,6,303,7
Arnav Kumar,MT21257,ECE,2020,IOT,1111,7,CN,8
Ayaan Kumar,MT21258,CSAM,2021,888,OOPD,8,523,9
Krishna Kumar,PhD21259,CSD,2022,GAME,202,9,AI,10
Ishaan Kumar,MT21260,CSB,2023,1111,OS,10,702,6
Shaurya Kumar,MT21261,CSE,2020,OOPD,401,6,NLP,7
Atharv Kumar,PhD21262,ECE,2021,202,DBMS,7,920,8
Advik Kumar,MT21263,CSAM,2022,OS,601,8,SEC,9
Pranav Kumar,MT21264,CSD,2023,401,ML,9,111,10
Reyansh Kumar,PhD21265,CSB,2020,DBMS,815,10,COA,6
Aaradhya Kumar,MT21266,CSE,2021,601,CV,6,333,7
Diya Kumar,MT21267,ECE,2022,ML,1005,7,WEB,8
Saanvi Kumar,PhD21268,CSAM,2023,815,TOC,8,555,9
Ananya Kumar,MT21269,CSD,2020,CV,222,9,CLOUD,10
Pari Kumar,MT21270,CSB,2021,1005,ALGO,10,777,6
Navya Kumar,PhD21271,CSE,2022,TOC,444,6,CYBER,7
Angel Kumar,MT21272,ECE,2023,222,MOBILE,7,999,8
Ira Kumar,MT21273,CSAM,2020,ALGO,666,8,ROBOTICS,9
Prisha Kumar,PhD21274,CSD,2021,444,IOT,9,101,10
Anaya Kumar,MT21275,CSB,2022,MOBILE,888,10,DSA,6
Ravi Kumar,MT21276,CSE,2023,666,GAME,6,303,7
Priya Kumar,PhD21277,ECE,2020,IOT,1111,7,CN,8
Amit Kumar,MT21278,CSAM,2021,888,OOPD,8,523,9
Sneha Kumar,MT21279,CSD,2022,GAME,202,9,AI,10
Karan Kumar,PhD21280,CSB,2023,1111,OS,10,702,6
Nisha Kumar,MT21281,CSE,2020,OOPD,401,6,NLP,7
Rahul Kumar,MT21282,ECE,2021,202,DBMS,7,920,8
Divya Kumar,PhD21283,CSAM,2022,OS,601,8,SEC,9
Meera Kumar,MT21284,CSD,2023,401,ML,9,111,10
Rohan Kumar,MT21285,CSB,2020,DBMS,815,10,COA,6
Anjali Kumar,PhD21286,CSE,2021,601,CV,6,333,7
Vikram Kumar,MT21287,ECE,2022,ML,1005,7,WEB,8
Pooja Kumar,MT21288,CSAM,2023,815,TOC,8,555,9
Aryan Kumar,PhD21289,CSD,2020,CV,222,9,CLOUD,10
Kavya Kumar,MT21290,CSB,2021,1005,ALGO,10,777,6
Aakash Kumar,MT21291,CSE,2022,TOC,444,6,CYBER,7
Simran Kumar,PhD21292,ECE,2023,222,MOBILE,7,999,8
Varun Kumar,MT21293,CSAM,2020,ALGO,666,8,ROBOTICS,9
Tanvi Kumar,MT21294,CSD,2021,444,IOT,9,101,10
Nikhil Kumar,PhD21295,CSB,2022,MOBILE,888,10,DSA,6
Ritu Kumar,MT21296,CSE,2023,666,GAME,6,303,7
Siddharth Kumar,MT21297,ECE,2020,IOT,1111,7,CN,8
Neha Kumar,PhD21298,CSAM,2021,888,OOPD,8,523,9
Kunal Kumar,MT21299,CSD,2022,GAME,202,9,AI,10
Shruti Kumar,MT21300,CSB,2023,1111,OS,10,702,6
Aarav Reddy,2021003,CS,2020,OOPD,401,6,NLP,7
Vivaan Reddy,MT21302,ECE,2021,202,DBMS,7,920,8
Aditya Reddy,MT21303,CSAM,2022,OS,601,8,SEC,9
Vihaan Reddy,PhD21304,CSD,2023,401,ML,9,111,10
Arjun Reddy,MT21305,CSB,2020,DBMS,815,10,COA,6
Sai Reddy,MT21306,CSE,2021,601,CV,6,333,7
Arnav Reddy,PhD21307,ECE,2022,ML,1005,7,WEB,8
Ayaan Reddy,MT21308,CSAM,2023,815,TOC,8,555,9
Krishna Reddy,MT21309,CSD,2020,CV,222,9,CLOUD,10
Ishaan Reddy,PhD21310,CSB,2021,1005,ALGO,10,777,6
Shaurya Reddy,MT21311,CSE,2022,TOC,444,6,CYBER,7
Atharv Reddy,MT21312,ECE,2023,222,MOBILE,7,999,8
Advik Reddy,PhD21313,CSAM,2020,ALGO,666,8,ROBOTICS,9
Pranav Reddy,MT21314,CSD,2021,444,IOT,9,101,10
Reyansh Reddy,MT21315,CSB,2022,MOBILE,888,10,DSA,6
Aaradhya Reddy,PhD21316,CSE,2023,666,GAME,6,303,7
Diya Reddy,MT21317,ECE,2020,IOT,1111,7,CN,8
Saanvi Reddy,MT21318,CSAM,2021,888,OOPD,8,523,9
Ananya Reddy,PhD21319,CSD,2022,GAME,202,9,AI,10
Pari Reddy,MT21320,CSB,2023,1111,OS,10,702,6
Navya Reddy,MT21321,CSE,2020,OOPD,401,6,NLP,7
Angel Reddy,PhD21322,ECE,2021,202,DBMS,7,920,8
Ira Reddy,MT21323,CSAM,2022,OS,601,8,SEC,9
Prisha Reddy,MT21324,CSD,2023,401,ML,9,111,10
Anaya Reddy,PhD21325,CSB,2020,DBMS,815,10,COA,6
Ravi Reddy,MT21326,CSE,2021,601,CV,6,333,7
Priya Reddy,MT21327,ECE,2022,ML,1005,7,WEB,8
Amit Reddy,PhD21328,CSAM,2023,815,TOC,8,555,9
Sneha Reddy,MT21329,CSD,2020,CV,222,9,CLOUD,10
Karan Reddy,MT21330,CSB,2021,1005,ALGO,10,777,6
Nisha Reddy,PhD21331,CSE,2022,TOC,444,6,CYBER,7
Rahul Reddy,MT21332,ECE,2023,222,MOBILE,7,999,8
Divya Reddy,MT21333,CSAM,2020,ALGO,666,8,ROBOTICS,9
Meera Reddy,PhD21334,CSD,2021,444,IOT,9,101,10
Rohan Reddy,MT21335,CSB,2022,MOBILE,888,10,DSA,6
Anjali Reddy,MT21336,CSE,2023,666,GAME,6,303,7
Vikram Reddy,PhD21337,ECE,2020,IOT,1111,7,CN,8
Pooja Reddy,MT21338,CSAM,2021,888,OOPD,8,523,9
Aryan Reddy,MT21339,CSD,2022,GAME,202,9,AI,10
Kavya Reddy,PhD21340,CSB,2023,1111,OS,10,702,6
Aakash Reddy,MT21341,CSE,2020,OOPD,401,6,NLP,7
Simran Reddy,MT21342,ECE,2021,202,DBMS,7,920,8
Varun Reddy,PhD21343,CSAM,2022,OS,601,8,SEC,9
Tanvi Reddy,MT21344,CSD,2023,401,ML,9,111,10
Nikhil Reddy,MT21345,CSB,2020,DBMS,815,10,COA,6
Ritu Reddy,PhD21346,CSE,2021,601,CV,6,333,7
Siddharth Reddy,MT21347,ECE,2022,ML,1005,7,WEB,8
Neha Reddy,MT21348,CSAM,2023,815,TOC,8,555,9
Kunal Reddy,PhD21349,CSD,2020,CV,222,9,CLOUD,10
Shruti Reddy,MT21350,CSB,2021,1005,ALGO,10,777,6
Aarav Yadav,MT21351,CSE,2022,TOC,444,6,CYBER,7
Vivaan Yadav,PhD21352,ECE,2023,222,MOBILE,7,999,8
Aditya Yadav,MT21353,CSAM,2020,ALGO,666,8,ROBOTICS,9
Vihaan Yadav,MT21354,CSD,2021,444,IOT,9,101,10
Arjun Yadav,PhD21355,CSB,2022,MOBILE,888,10,DSA,6
Sai Yadav,MT21356,CSE,2023,666,GAME,6,303,7
Arnav Yadav,MT21357,ECE,2020,IOT,1111,7,CN,8
Ayaan Yadav,PhD21358,CSAM,2021,888,OOPD,8,523,9
Krishna Yadav,MT21359,CSD,2022,GAME,202,9,AI,10
Ishaan Yadav,MT21360,CSB,2023,1111,OS,10,702,6
Shaurya Yadav,PhD21361,CSE,2020,OOPD,401,6,NLP,7
Atharv Yadav,MT21362,ECE,2021,202,DBMS,7,920,8
Advik Yadav,MT21363,CSAM,2022,OS,601,8,SEC,9
Pranav Yadav,PhD21364,CSD,2023,401,ML,9,111,10
Reyansh Yadav,MT21365,CSB,2020,DBMS,815,10,COA,6
Aaradhya Yadav,MT21366,CSE,2021,601,CV,6,333,7
Diya Yadav,PhD21367,ECE,2022,ML,1005,7,WEB,8
Saanvi Yadav,MT21368,CSAM,2023,815,TOC,8,555,9
Ananya Yadav,MT21369,CSD,2020,CV,222,9,CLOUD,10
Pari Yadav,PhD21370,CSB,2021,1005,ALGO,10,777,6
Navya Yadav,MT21371,CSE,2022,TOC,444,6,CYBER,7
Angel Yadav,MT21372,ECE,2023,222,MOBILE,7,999,8
Ira Yadav,PhD21373,CSAM,2020,ALGO,666,8,ROBOTICS,9
Prisha Yadav,MT21374,CSD,2021,444,IOT,9,101,10
Anaya Yadav,MT21375,CSB,2022,MOBILE,888,10,DSA,6
Ravi Yadav,PhD21376,CSE,2023,666,GAME,6,303,7
Priya Yadav,MT21377,ECE,2020,IOT,1111,7,CN,8
Amit Yadav,MT21378,CSAM,2021,888,OOPD,8,523,9
Sneha Yadav,PhD21379,CSD,2022,GAME,202,9,AI,10
Karan Yadav,MT21380,CSB,2023,1111,OS,10,702,6
Nisha Yadav,MT21381,CSE,2020,OOPD,401,6,NLP,7
Rahul Yadav,PhD21382,ECE,2021,202,DBMS,7,920,8
Divya Yadav,MT21383,CSAM,2022,OS,601,8,SEC,9
Meera Yadav,MT21384,CSD,2023,401,ML,9,111,10
Rohan Yadav,PhD21385,CSB,2020,DBMS,815,10,COA,6
Anjali Yadav,MT21386,CSE,2021,601,CV,6,333,7
Vikram Yadav,MT21387,ECE,2022,ML,1005,7,WEB,8
Pooja Yadav,PhD21388,CSAM,2023,815,TOC,8,555,9
Aryan Yadav,MT21389,CSD,2020,CV,222,9,CLOUD,10
Kavya Yadav,MT21390,CSB,2021,1005,ALGO,10,777,6
Aakash Yadav,PhD21391,CSE,2022,TOC,444,6,CYBER,7
Simran Yadav,MT21392,ECE,2023,222,MOBILE,7,999,8
Varun Yadav,MT21393,CSAM,2020,ALGO,666,8,ROBOTICS,9
Tanvi Yadav,PhD21394,CSD,2021,444,IOT,9,101,10
Nikhil Yadav,MT21395,CSB,2022,MOBILE,888,10,DSA,6
Ritu Yadav,MT21396,CSE,2023,666,GAME,6,303,7
Siddharth Yadav,PhD21397,ECE,2020,IOT,1111,7,CN,8
Neha Yadav,MT21398,CSAM,2021,888,OOPD,8,523,9
Kunal Yadav,MT21399,CSD,2022,GAME,202,9,AI,10
Shruti Yadav,PhD21400,CSB,2023,1111,OS,10,702,6
Aarav Jain,MT21401,CSE,2020,OOPD,401,6,NLP,7
